"date","clock_in","clock_out","code","notes","tags"
2020-01-25,"13:05:00","13:11:00","PFE","emails",""
2020-01-25,"13:11:00","14:13:00","JNJ","phone call",""
2020-01-25,"14:13:00","15:56:00","XOM","balance sheets",""
2020-01-25,"15:56:00","16:23:00","JNJ","",""
2020-01-25,"16:23:00","16:47:00","AAPL","setup books","redo"
2020-01-27,"07:25:00","08:40:00","CVX","prep for mtg",""
2020-01-27,"08:40:00","09:00:00","TSM","",""
2020-01-28,"06:15:00","06:31:00","BIZ","",""
2020-01-28,"06:31:00","08:34:00","MSFT","price quotes",""
2020-01-28,"08:34:00","11:06:00","NVO","discuss issues","asap"
2020-01-28,"11:06:00","11:16:00","XOM","emails","done"
2020-01-28,"11:16:00","11:38:00","AMZN","",""
2020-01-29,"07:45:00","08:01:00","CVX","",""
2020-01-29,"08:01:00","08:26:00","XOM","setup books",""
2020-01-29,"08:26:00","08:37:00","AMZN","emails",""
2020-01-29,"08:37:00","09:38:00","AAPL","prep for mtg","redo"
2020-01-30,"09:27:00","10:39:00","WMT","check last month's payments","redo"
2020-01-30,"10:39:00","11:04:00","NVO","setup books",""
2020-01-30,"11:04:00","11:24:00","MSFT","",""
2020-01-30,"11:24:00","11:50:00","AAPL","setup books",""
2020-01-30,"11:50:00","12:15:00","BRK/A","setup books","fixed"
2020-02-02,"08:30:00","08:48:00","PG","",""
2020-02-02,"08:48:00","08:58:00","JNJ","emails","fixed"
2020-02-02,"08:58:00","10:02:00","WMT","prep for mtg",""
2020-02-02,"10:02:00","10:30:00","GOOG","setup books","redo"
2020-02-02,"10:30:00","10:45:00","TSLA","emails","redo"
2020-02-02,"10:45:00","10:55:00","WMT","emails","asap"
2020-02-02,"10:55:00","12:55:00","GOOG","price quotes",""
2020-02-02,"12:55:00","14:26:00","NVDA","crosscheck w bank statements",""
2020-02-02,"14:26:00","15:16:00","PFE","prep for mtg","asap"
2020-02-04,"08:32:00","08:36:00","NVO","",""
2020-02-04,"08:36:00","09:06:00","BIZ","",""
2020-02-04,"09:06:00","09:14:00","WMT","emails",""
2020-02-04,"09:14:00","10:27:00","BIZ","phone call","asap"
2020-02-04,"10:27:00","10:35:00","TSLA","emails","done"
2020-02-04,"10:35:00","10:46:00","XOM","emails","redo"
2020-02-04,"10:46:00","11:14:00","CVX","setup books",""
2020-02-04,"11:14:00","11:48:00","BIZ","prep for mtg","asap"
2020-02-05,"09:58:00","10:48:00","TSLA","prep for mtg","fixed"
2020-02-05,"10:48:00","11:01:00","BIZ","emails","done"
2020-02-05,"11:01:00","11:42:00","META","setup books","asap"
2020-02-05,"11:42:00","13:04:00","META","phone call",""
2020-02-05,"13:04:00","13:08:00","TSM","",""
2020-02-05,"13:08:00","13:50:00","AMZN","prep for mtg",""
2020-02-05,"13:50:00","14:01:00","BRK/B","emails","fixed"
2020-02-05,"14:01:00","15:08:00","BIZ","balance sheets",""
2020-02-05,"15:08:00","15:12:00","MSFT","emails","fixed"
2020-02-07,"06:21:00","06:28:00","BIZ","emails",""
2020-02-07,"06:28:00","07:20:00","TSLA","check last month's payments","redo"
2020-02-07,"07:20:00","07:28:00","XOM","emails",""
2020-02-07,"07:28:00","09:16:00","CVX","price quotes",""
2020-02-07,"09:16:00","09:29:00","XOM","emails","redo"
2020-02-07,"09:29:00","09:45:00","PG","",""
2020-02-07,"09:45:00","10:11:00","PFE","setup books",""
2020-02-07,"10:11:00","10:31:00","GOOG","",""
2020-02-07,"10:31:00","11:21:00","CVX","prep for mtg",""
2020-02-07,"11:21:00","11:27:00","NVO","emails","fixed"
2020-02-07,"11:27:00","11:40:00","MA","emails","asap"
2020-02-08,"08:21:00","10:15:00","PG","price quotes","asap"
2020-02-08,"10:15:00","10:30:00","PG","emails","fixed"
2020-02-08,"10:30:00","12:10:00","META","phone call","redo"
2020-02-08,"12:10:00","12:33:00","GOOG","prep for mtg","redo"
2020-02-08,"12:33:00","12:50:00","MSFT","",""
2020-02-08,"12:50:00","13:59:00","TSM","prep for mtg",""
2020-02-08,"13:59:00","14:23:00","PG","setup books",""
2020-02-08,"14:23:00","14:38:00","BIZ","emails",""
2020-02-08,"14:38:00","14:43:00","BIZ","emails",""
2020-02-08,"14:43:00","16:23:00","UNH","phone call","done"
2020-02-09,"08:11:00","08:23:00","NVO","emails","redo"
2020-02-09,"08:23:00","08:33:00","BIZ","emails","asap"
2020-02-09,"08:33:00","08:38:00","GOOG","emails","redo"
2020-02-09,"08:38:00","08:51:00","NVDA","emails",""
2020-02-09,"08:51:00","09:00:00","WMT","",""
2020-02-09,"09:00:00","10:29:00","BIZ","check last month's payments",""
2020-02-09,"10:29:00","10:51:00","BIZ","",""
2020-02-09,"10:51:00","11:04:00","BIZ","emails","redo"
2020-02-09,"11:04:00","12:19:00","TSM","prep for mtg","fixed"
2020-02-09,"12:19:00","12:25:00","BIZ","emails",""
2020-02-10,"06:00:00","06:11:00","PG","emails","redo"
2020-02-10,"06:11:00","09:35:00","BRK/B","discuss issues",""
2020-02-10,"09:35:00","09:42:00","BIZ","emails",""
2020-02-10,"09:42:00","10:33:00","BIZ","phone call",""
2020-02-10,"10:33:00","10:58:00","MA","setup books",""
2020-02-10,"10:58:00","12:16:00","BIZ","balance sheets",""
2020-02-10,"12:16:00","12:28:00","AAPL","emails",""
2020-02-10,"12:28:00","12:48:00","XOM","",""
2020-02-10,"12:48:00","13:02:00","BIZ","",""
2020-02-11,"07:00:00","07:22:00","BIZ","",""
2020-02-11,"07:22:00","08:00:00","AAPL","prep for mtg",""
2020-02-12,"09:24:00","10:04:00","PFE","setup books","asap"
2020-02-12,"10:04:00","10:47:00","AAPL","setup books","done"
2020-02-12,"10:47:00","12:10:00","AMZN","check last month's payments",""
2020-02-12,"12:10:00","12:16:00","AMZN","emails","fixed"
2020-02-13,"19:10:00","19:22:00","AAPL","price quotes","asap"
2020-02-14,"06:19:00","07:14:00","MSFT","prep for mtg",""
2020-02-14,"07:14:00","07:21:00","MA","emails",""
2020-02-14,"07:21:00","07:30:00","MSFT","",""
2020-02-14,"07:30:00","08:05:00","AAPL","prep for mtg","done"
2020-02-14,"08:05:00","08:22:00","PG","",""
2020-02-14,"08:22:00","08:34:00","AMZN","emails","done"
2020-02-14,"08:34:00","10:18:00","AMZN","check last month's payments",""
2020-02-14,"10:18:00","10:34:00","CVX","",""
2020-02-14,"10:34:00","11:40:00","NVDA","balance sheets",""
2020-02-14,"11:40:00","11:52:00","TSLA","emails","redo"
2020-02-14,"11:52:00","12:10:00","CVX","",""
2020-02-14,"12:10:00","13:02:00","AAPL","check last month's payments","fixed"
2020-02-14,"13:02:00","13:09:00","TSLA","emails",""
2020-02-14,"13:09:00","13:27:00","AAPL","",""
2020-02-15,"07:21:00","07:53:00","BIZ","prep for mtg","redo"
2020-02-15,"07:53:00","08:26:00","UNH","prep for mtg",""
2020-02-15,"08:26:00","08:28:00","WMT","phone call","done"
2020-02-15,"08:28:00","08:51:00","TSM","prep for mtg","done"
2020-02-15,"08:51:00","09:02:00","HD","emails",""
2020-02-15,"09:02:00","09:10:00","CVX","emails","done"
2020-02-15,"09:10:00","09:29:00","AMZN","",""
2020-02-16,"07:30:00","07:33:00","PG","",""
2020-02-16,"07:33:00","08:52:00","BIZ","crosscheck w bank statements",""
2020-02-16,"08:52:00","09:03:00","META","emails","done"
2020-02-16,"09:03:00","09:35:00","AAPL","prep for mtg",""
2020-02-16,"09:35:00","09:56:00","TSM","",""
2020-02-16,"09:56:00","11:19:00","TSLA","check last month's payments",""
2020-02-16,"11:19:00","11:36:00","PFE","",""
2020-02-16,"11:36:00","11:39:00","HD","",""
2020-02-16,"11:39:00","13:00:00","PFE","check last month's payments","fixed"
2020-02-16,"13:00:00","13:40:00","AMZN","setup books",""
2020-02-17,"06:00:00","08:12:00","XOM","planning session",""
2020-02-17,"08:12:00","08:20:00","NVO","emails",""
2020-02-17,"08:20:00","08:48:00","META","setup books","redo"
2020-02-17,"08:48:00","08:59:00","MA","emails",""
2020-02-17,"08:59:00","09:11:00","XOM","emails","redo"
2020-02-17,"09:11:00","09:47:00","PG","prep for mtg","fixed"
2020-02-17,"09:47:00","10:27:00","TSLA","setup books","redo"
2020-02-17,"10:27:00","10:49:00","JNJ","",""
2020-02-17,"10:49:00","11:23:00","GOOG","prep for mtg","redo"
2020-02-18,"08:15:00","08:28:00","MSFT","emails",""
2020-02-18,"08:28:00","09:53:00","MSFT","planning session","asap"
2020-02-18,"09:53:00","10:33:00","WMT","setup books",""
2020-02-18,"10:33:00","11:59:00","AMZN","balance sheets","asap"
2020-02-18,"11:59:00","12:29:00","AMZN","",""
2020-02-18,"12:29:00","12:59:00","MSFT","",""
2020-02-18,"12:59:00","13:46:00","PG","phone call","fixed"
2020-02-18,"13:46:00","14:29:00","NVDA","setup books","asap"
2020-02-18,"14:29:00","14:37:00","TSLA","emails","done"
2020-02-18,"14:37:00","15:58:00","HD","check last month's payments","fixed"
2020-02-18,"15:58:00","16:12:00","AMZN","",""
2020-02-18,"16:12:00","16:28:00","MSFT","",""
2020-02-18,"16:28:00","16:56:00","HD","setup books",""
2020-02-18,"16:56:00","18:39:00","NVO","balance sheets",""
2020-02-20,"06:24:00","06:59:00","WMT","prep for mtg","asap"
2020-02-20,"06:59:00","07:28:00","BIZ","setup books",""
2020-02-20,"07:28:00","08:46:00","XOM","balance sheets",""
2020-02-20,"08:46:00","09:47:00","AMZN","prep for mtg","fixed"
2020-02-20,"09:47:00","10:12:00","TSM","setup books",""
2020-02-20,"10:12:00","12:24:00","UNH","planning session","asap"
2020-02-20,"12:24:00","12:34:00","BIZ","emails",""
2020-02-20,"12:34:00","13:37:00","AMZN","prep for mtg","asap"
2020-02-21,"06:05:00","06:22:00","TSLA","",""
2020-02-21,"06:22:00","06:51:00","JNJ","setup books",""
2020-02-21,"06:51:00","06:55:00","UNH","",""
2020-02-23,"07:55:00","08:10:00","AMZN","emails","redo"
2020-02-23,"08:10:00","08:41:00","JNJ","setup books",""
2020-02-23,"08:41:00","08:46:00","NVO","emails",""
2020-02-23,"08:46:00","09:42:00","PFE","prep for mtg",""
2020-02-23,"09:42:00","09:48:00","PFE","emails","redo"
2020-02-23,"09:48:00","10:19:00","TSM","setup books","done"
2020-02-23,"10:19:00","10:27:00","BIZ","emails","redo"
2020-02-24,"08:58:00","09:06:00","BIZ","emails",""
2020-02-24,"09:06:00","10:35:00","XOM","check last month's payments",""
2020-02-24,"10:35:00","11:02:00","META","",""
2020-02-24,"11:02:00","12:37:00","WMT","phone call",""
2020-02-24,"12:37:00","13:56:00","BIZ","crosscheck w bank statements",""
2020-02-24,"13:56:00","15:36:00","MSFT","phone call","asap"
2020-02-24,"15:36:00","15:45:00","BIZ","",""
2020-02-24,"15:45:00","16:33:00","AMZN","phone call","redo"
2020-02-24,"16:33:00","16:49:00","PG","",""
2020-02-24,"16:49:00","17:35:00","MSFT","prep for mtg","done"
2020-02-24,"17:35:00","18:34:00","GOOG","phone call",""
2020-02-25,"07:15:00","08:40:00","AMZN","planning session","fixed"
2020-02-25,"08:40:00","08:46:00","AMZN","emails",""
2020-02-25,"08:46:00","09:16:00","BIZ","",""
2020-02-25,"09:16:00","09:29:00","AMZN","emails","redo"
2020-02-25,"09:29:00","11:07:00","MSFT","price quotes",""
2020-02-25,"11:07:00","12:31:00","META","price quotes","redo"
2020-02-25,"12:31:00","15:55:00","GOOG","discuss issues",""
2020-02-25,"15:55:00","16:02:00","WMT","emails",""
2020-02-25,"16:02:00","16:13:00","BIZ","emails",""
2020-02-25,"16:13:00","16:26:00","BIZ","emails",""
2020-02-25,"16:26:00","16:35:00","TSM","",""
2020-02-26,"08:50:00","09:30:00","BIZ","setup books",""
2020-02-26,"09:30:00","10:03:00","META","prep for mtg",""
2020-02-26,"10:03:00","11:12:00","NVO","prep for mtg",""
2020-02-26,"11:12:00","13:04:00","UNH","price quotes",""
2020-02-26,"13:04:00","13:24:00","NVDA","",""
2020-02-29,"12:50:00","12:56:00","BIZ","emails","fixed"
2020-02-29,"12:56:00","13:29:00","MSFT","",""
2020-02-29,"13:29:00","13:46:00","NVO","discuss issues",""
2020-02-29,"13:46:00","14:26:00","MSFT","",""
2020-02-29,"14:26:00","14:40:00","BIZ","emails","done"
2020-03-01,"09:00:00","09:04:00","PFE","",""
2020-03-01,"09:04:00","09:28:00","TSLA","setup books",""
2020-03-02,"07:06:00","07:33:00","BIZ","",""
2020-03-02,"07:33:00","07:55:00","AAPL","",""
2020-03-02,"07:55:00","08:02:00","BIZ","emails",""
2020-03-02,"08:02:00","08:24:00","HD","",""
2020-03-02,"08:24:00","08:30:00","TSM","emails",""
2020-03-03,"06:00:00","07:20:00","PG","crosscheck w bank statements",""
2020-03-03,"07:20:00","07:44:00","WMT","setup books",""
2020-03-04,"06:34:00","06:47:00","AAPL","emails","asap"
2020-03-04,"06:47:00","07:31:00","BRK/B","prep for mtg",""
2020-03-04,"07:31:00","07:53:00","META","",""
2020-03-04,"07:53:00","08:31:00","AAPL","prep for mtg",""
2020-03-04,"08:31:00","10:15:00","BIZ","check last month's payments",""
2020-03-04,"10:15:00","10:26:00","UNH","emails",""
2020-03-04,"10:26:00","10:36:00","WMT","emails","redo"
2020-03-04,"10:36:00","11:56:00","MSFT","crosscheck w bank statements",""
2020-03-04,"11:56:00","12:15:00","PFE","",""
2020-03-04,"12:15:00","12:29:00","MSFT","",""
2020-03-06,"07:00:00","08:04:00","WMT","prep for mtg",""
2020-03-06,"08:04:00","08:40:00","GOOG","setup books","done"
2020-03-06,"08:40:00","09:09:00","GOOG","setup books",""
2020-03-06,"09:09:00","09:31:00","HD","",""
2020-03-06,"09:31:00","11:12:00","TSM","balance sheets","asap"
2020-03-06,"11:12:00","13:35:00","BRK/B","planning session","redo"
2020-03-06,"13:35:00","14:41:00","GOOG","balance sheets",""
2020-03-06,"14:41:00","15:05:00","JPM","setup books","done"
2020-03-06,"15:05:00","15:20:00","NVDA","emails","redo"
2020-03-06,"15:20:00","15:38:00","MSFT","",""
2020-03-06,"15:38:00","15:46:00","NVDA","emails",""
2020-03-06,"15:46:00","16:02:00","AAPL","",""
2020-03-06,"16:02:00","16:24:00","JNJ","",""
2020-03-06,"16:24:00","17:26:00","WMT","phone call","redo"
2020-03-06,"17:26:00","18:10:00","CVX","prep for mtg",""
2020-03-06,"18:10:00","18:16:00","BRK/B","emails",""
2020-03-06,"18:16:00","19:15:00","AAPL","phone call",""
2020-03-06,"19:15:00","20:44:00","JNJ","check last month's payments",""
2020-03-10,"06:58:00","07:14:00","MSFT","",""
2020-03-10,"07:14:00","08:47:00","XOM","balance sheets",""
2020-03-10,"08:47:00","10:23:00","BIZ","check last month's payments",""
2020-03-10,"10:23:00","11:32:00","TSM","prep for mtg",""
2020-03-10,"11:32:00","12:45:00","XOM","phone call",""
2020-03-12,"08:15:00","09:10:00","XOM","prep for mtg",""
2020-03-12,"09:10:00","10:29:00","BIZ","crosscheck w bank statements",""
2020-03-12,"10:29:00","10:37:00","NVO","emails",""
2020-03-12,"10:37:00","11:25:00","PG","phone call","done"
2020-03-12,"11:25:00","12:13:00","CVX","phone call","done"
2020-03-12,"12:13:00","13:02:00","JNJ","prep for mtg","asap"
2020-03-12,"13:02:00","13:14:00","HD","emails","asap"
2020-03-12,"13:14:00","13:42:00","NVO","setup books",""
2020-03-12,"13:42:00","16:03:00","AMZN","discuss issues",""
2020-03-14,"07:43:00","08:14:00","AMZN","setup books",""
2020-03-14,"08:14:00","08:45:00","PG","setup books",""
2020-03-14,"08:45:00","09:33:00","META","phone call","done"
2020-03-14,"09:33:00","10:28:00","AMZN","prep for mtg",""
2020-03-14,"10:28:00","10:52:00","MSFT","setup books",""
2020-03-15,"06:10:00","07:44:00","TSM","check last month's payments",""
2020-03-15,"07:44:00","08:20:00","NVDA","setup books",""
2020-03-15,"08:20:00","09:24:00","TSM","prep for mtg",""
2020-03-15,"09:24:00","09:35:00","XOM","emails","done"
2020-03-15,"09:35:00","09:48:00","TSLA","emails",""
2020-03-15,"09:48:00","10:00:00","TSM","emails",""
2020-03-15,"10:00:00","11:17:00","TSM","crosscheck w bank statements",""
2020-03-15,"11:17:00","11:34:00","MSFT","",""
2020-03-15,"11:34:00","11:48:00","BIZ","",""
2020-03-15,"11:48:00","12:03:00","GOOG","emails","done"
2020-03-15,"12:03:00","12:18:00","AMZN","emails",""
2020-03-16,"08:03:00","09:18:00","BIZ","prep for mtg","fixed"
2020-03-16,"09:18:00","09:23:00","AMZN","emails","fixed"
2020-03-16,"09:23:00","09:37:00","NVDA","",""
2020-03-16,"09:37:00","09:51:00","JNJ","",""
2020-03-16,"09:51:00","10:52:00","PG","prep for mtg",""
2020-03-17,"07:09:00","07:24:00","BIZ","emails",""
2020-03-17,"07:24:00","07:51:00","AMZN","",""
2020-03-17,"07:51:00","08:11:00","TSLA","",""
2020-03-17,"08:11:00","08:39:00","MSFT","setup books",""
2020-03-17,"08:39:00","08:52:00","TSLA","emails",""
2020-03-17,"08:52:00","10:03:00","WMT","check last month's payments",""
2020-03-17,"10:03:00","11:45:00","BIZ","price quotes","asap"
2020-03-17,"11:45:00","12:25:00","PFE","setup books","asap"
2020-03-17,"12:25:00","13:25:00","META","setup books","redo"
2020-03-17,"13:25:00","13:38:00","CVX","emails",""
2020-03-17,"13:38:00","14:27:00","GOOG","prep for mtg","redo"
2020-03-17,"14:27:00","15:11:00","TSLA","prep for mtg","fixed"
2020-03-17,"15:11:00","15:35:00","TSM","setup books","done"
2020-03-17,"15:35:00","15:46:00","GOOG","emails",""
2020-03-18,"06:00:00","06:04:00","PFE","",""
2020-03-18,"06:04:00","06:46:00","CVX","prep for mtg",""
2020-03-18,"06:46:00","06:57:00","XOM","emails","asap"
2020-03-18,"06:57:00","07:38:00","AAPL","setup books",""
2020-03-19,"07:47:00","08:30:00","MSFT","setup books",""
2020-03-19,"08:30:00","08:56:00","BIZ","setup books","done"
2020-03-19,"08:56:00","09:04:00","WMT","emails",""
2020-03-19,"09:04:00","09:28:00","BIZ","setup books",""
2020-03-20,"07:58:00","08:55:00","MSFT","phone call",""
2020-03-20,"08:55:00","09:05:00","UNH","emails",""
2020-03-20,"09:05:00","10:55:00","AAPL","balance sheets",""
2020-03-20,"10:55:00","13:11:00","GOOG","price quotes",""
2020-03-20,"13:11:00","13:50:00","PFE","prep for mtg",""
2020-03-20,"13:50:00","13:57:00","TSM","emails",""
2020-03-20,"13:57:00","16:53:00","PFE","discuss issues","fixed"
2020-03-20,"16:53:00","17:49:00","MSFT","prep for mtg","done"
2020-03-20,"17:49:00","17:55:00","UNH","emails","done"
2020-03-21,"07:00:00","08:02:00","BRK/B","phone call","done"
2020-03-21,"08:02:00","09:37:00","AMZN","phone call",""
2020-03-21,"09:37:00","09:42:00","HD","emails","done"
2020-03-21,"09:42:00","10:16:00","BRK/B","prep for mtg",""
2020-03-21,"10:16:00","12:11:00","WMT","crosscheck w bank statements","done"
2020-03-21,"12:11:00","12:13:00","BIZ","phone call",""
2020-03-21,"12:13:00","12:47:00","PG","prep for mtg","redo"
2020-03-21,"12:47:00","14:07:00","NVO","balance sheets","done"
2020-03-21,"14:07:00","14:49:00","PFE","prep for mtg","redo"
2020-03-21,"14:49:00","15:26:00","GOOG","setup books",""
2020-03-21,"15:26:00","15:31:00","XOM","emails","redo"
2020-03-22,"08:10:00","08:23:00","UNH","emails","redo"
2020-03-22,"08:23:00","08:38:00","NVDA","emails","asap"
2020-03-23,"06:15:00","06:35:00","GOOG","",""
2020-03-23,"06:35:00","06:50:00","PFE","emails","fixed"
2020-03-23,"06:50:00","06:57:00","WMT","emails",""
